ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,ReachedonTime_YN,
7738,B,Ship,5,2,232,6,medium,F,3,1540,0,0.930974301
7739,C,Ship,6,1,244,4,low,F,7,1007,0,0.113470259
7740,F,Ship,4,4,267,5,medium,F,9,1716,1,0.544269512
7741,D,Ship,6,1,254,4,low,F,2,1071,0,0.559639313
7742,F,Ship,5,2,270,4,medium,M,8,1631,1,0.161848726
7743,A,Ship,6,2,301,4,medium,M,10,1747,1,0.728678547
7744,B,Ship,4,5,221,5,low,F,5,,1,0.398993625
7745,C,Ship,5,3,243,5,low,F,9,1312,1,0.035162432
7746,F,Ship,6,4,264,4,low,M,1,1711,1,0.74621717
7747,D,Ship,4,3,228,5,low,F,9,1044,0,0.997281534
7748,F,Ship,5,1,262,5,low,F,5,1916,1,0.945512614
7749,A,Ship,4,2,270,5,medium,M,9,1167,0,0.739381903
7750,B,Ship,3,1,131,4,low,M,1,1628,0,0.837494674
7751,C,Ship,7,1,257,4,low,M,1,1405,1,0.590966886
7752,F,Ship,4,1,245,5,medium,M,1,1472,0,0.561965955
7753,D,Ship,5,5,272,5,medium,F,5,1868,1,0.764964674
7754,F,Ship,6,1,284,4,low,F,7,1153,0,0.776329937
7755,A,Ship,7,5,285,4,low,M,6,1591,1,0.001009214
7756,B,Ship,6,3,250,4,low,M,9,1618,0,0.340028635
7757,C,Ship,7,3,272,4,medium,M,7,1067,1,0.53852231
7758,F,Ship,4,3,254,5,low,F,3,1248,0,0.935447993
7759,D,Ship,5,4,217,5,low,F,5,,1,0.391004419
7760,F,Ship,7,5,253,4,low,M,10,1166,1,0.050389628
7761,A,Ship,5,1,276,5,low,F,6,1793,0,0.93796435
7762,B,Ship,4,1,241,5,low,F,4,1145,0,0.73129069
7763,C,Ship,6,2,259,5,medium,M,1,1357,0,0.231386217
7764,F,Ship,6,4,272,4,medium,F,10,1171,1,0.192517682
7765,D,Ship,6,1,280,4,medium,M,6,1735,1,0.605656849
7766,F,Ship,5,3,257,5,low,M,7,1090,0,0.78174161
7767,A,Ship,6,3,282,4,low,M,9,1417,1,0.203326156
7768,B,Ship,6,4,268,4,medium,M,9,1354,1,0.911756307
7769,C,Ship,5,3,238,5,high,M,10,1841,1,0.783246664
7770,F,Ship,7,4,310,4,low,M,6,1003,1,0.24389473
7771,D,Ship,4,1,187,2,low,M,5,5691,0,0.562644192
7772,F,Ship,3,3,167,4,medium,M,1,5301,0,0.756569591
7773,A,Ship,4,3,197,4,medium,M,9,4429,0,0.739062593
7774,B,Ship,6,1,214,2,low,M,5,,0,0.422613419
7775,C,Ship,4,2,174,2,low,F,8,4295,0,0.076352298
7776,F,Ship,4,5,239,3,medium,M,1,5482,1,0.994835069
7777,D,Ship,5,1,249,3,low,F,8,5940,0,0.988967853
7778,F,Ship,5,3,141,3,low,M,2,4124,1,0.995874724
7779,A,Ship,5,2,179,3,medium,M,5,4325,1,0.918781055
7780,B,Ship,3,1,253,3,high,M,8,5030,1,0.281065343
7781,C,Ship,2,3,219,4,low,F,9,4086,0,0.469511106
7782,F,Ship,4,1,249,6,medium,M,2,5720,1,0.694805025
7783,D,Road,3,3,196,3,low,M,9,4431,0,0.864712083
7784,F,Road,6,5,244,3,low,M,9,5634,0,0.141992396
7785,A,Road,4,2,144,3,low,M,2,4264,0,0.201861879
7786,B,Road,4,3,240,3,medium,M,6,4964,0,0.494755334
7787,C,Road,5,4,222,3,low,M,1,,1,0.433489885
7788,F,Road,4,4,246,3,medium,M,5,5029,1,0.832021351
7789,D,Road,6,1,188,5,low,M,4,4887,0,0.603273855
7790,F,Road,3,3,153,3,low,F,3,4829,0,0.020513947
7791,A,Road,3,1,151,2,low,F,7,4437,0,0.973170926
7792,B,Road,4,1,237,3,medium,F,8,5668,1,0.034276649
7793,C,Road,3,1,194,3,medium,F,4,5383,1,0.708478333
7794,F,Road,3,5,241,3,low,F,5,4861,1,0.797322242
7795,D,Road,4,2,209,2,medium,M,3,5607,0,0.701883773
7796,F,Road,3,1,160,2,low,F,10,5642,1,0.542846249
7797,A,Road,4,4,251,2,low,M,2,4800,0,0.327975866
7798,B,Road,5,3,193,4,medium,F,3,5026,0,0.687257327
7799,C,Road,4,4,169,3,medium,M,5,5743,0,0.797714949
7800,F,Road,3,5,234,2,medium,F,1,4455,1,0.850643269
7801,D,Road,4,5,192,2,high,F,4,4518,0,0.62963657
7802,F,Road,2,5,160,4,low,F,7,5754,0,0.832208798
7803,A,Road,5,3,201,2,low,F,1,4548,1,0.271890686
7804,B,Road,4,1,260,3,low,M,9,4239,0,0.202913804
7805,C,Flight,3,3,244,4,medium,M,10,,0,0.389298896
7806,F,Flight,3,2,219,6,low,F,9,5263,1,0.247202513
7807,D,Flight,4,2,219,4,high,F,2,4422,1,0.22192529
7808,F,Flight,3,5,175,3,high,F,6,5150,0,0.58150378
7809,A,Flight,4,2,196,3,medium,F,2,4474,0,0.77316513
7810,B,Flight,3,5,230,3,high,M,4,5189,1,0.614174948
7811,C,Flight,4,3,262,4,high,F,2,4783,1,0.637926467
7812,F,Flight,5,4,228,4,high,F,7,5913,0,0.045004169
7813,D,Flight,3,2,138,2,medium,M,8,5714,0,0.593497719
7814,F,Flight,4,1,240,3,low,F,4,4787,0,0.325543423
7815,A,Flight,3,1,104,4,low,F,9,5211,1,0.095635449
7816,B,Flight,3,2,261,2,medium,M,10,4035,0,0.755531468
7817,C,Flight,4,3,181,3,low,M,4,4399,1,0.110539956
7818,F,Flight,5,2,152,3,medium,M,4,4699,1,0.947923228
7819,D,Flight,2,2,215,5,medium,M,3,5185,1,0.192205538
7820,F,Flight,5,4,266,6,medium,F,7,4486,0,0.058212146
7821,A,Flight,4,5,265,2,medium,F,9,,1,0.362050953
7822,B,Flight,5,5,142,4,medium,M,8,5372,0,0.639532627
7823,C,Flight,5,3,169,2,low,F,1,4500,1,0.908204319
7824,F,Flight,3,5,257,3,medium,M,4,5196,1,0.673185501
7825,D,Flight,3,2,142,3,low,M,9,4234,0,0.942195558
7826,F,Flight,2,4,233,4,medium,F,4,,0,0.443906545
7827,A,Ship,4,2,136,4,medium,M,9,5038,0,0.023532052
7828,B,Ship,2,2,173,3,low,F,10,4736,0,0.349358903
7829,C,Ship,3,4,221,3,low,M,10,4927,1,0.23363959
7830,F,Ship,5,3,204,3,low,M,10,5610,1,0.556947997
7831,D,Ship,4,5,149,2,low,M,2,5724,1,0.613687355
7832,F,Ship,2,1,166,3,medium,F,7,5990,1,0.269942021
7833,A,Ship,5,4,265,2,low,F,2,5164,1,0.49208136
7834,B,Ship,3,1,140,2,low,F,8,5253,1,0.319956889
7835,C,Ship,4,3,234,3,medium,F,9,4868,1,0.669857868
7836,F,Ship,3,5,139,2,low,F,6,5181,0,0.767846572
7837,D,Ship,3,4,232,2,low,F,8,5629,1,0.545790289
7838,F,Ship,3,5,187,4,medium,F,4,5640,0,0.718729587
7839,A,Ship,3,4,197,6,medium,M,3,,1,0.41856358
7840,B,Ship,3,4,273,2,medium,F,5,5223,0,0.949282036
7841,C,Ship,3,2,201,3,medium,M,7,4890,0,0.782492036
7842,F,Ship,2,2,201,3,high,M,2,4865,1,0.305591207
7843,D,Ship,4,3,227,3,medium,M,10,5782,1,0.264023704
7844,F,Ship,3,5,171,2,medium,M,1,,1,0.412026447
7845,A,Ship,3,5,192,2,low,F,7,5069,1,0.504458809
7846,B,Ship,3,1,226,3,high,M,2,4831,1,0.845744647
7847,C,Ship,3,4,252,2,medium,F,6,4040,1,0.131389241
7848,F,Ship,4,5,177,3,medium,F,7,4243,1,0.594069298
7849,D,Ship,3,5,211,3,medium,M,5,4058,1,0.333137994
7850,F,Ship,6,3,170,4,low,M,1,4912,0,0.591733513
7851,A,Ship,2,3,118,4,medium,M,7,5510,0,0.60762531
7852,B,Ship,4,4,146,3,low,M,3,5225,1,0.197596024
7853,C,Ship,3,5,150,3,high,M,6,4565,0,0.82784679
7854,F,Ship,5,5,243,3,medium,M,3,5700,1,0.743148671
7855,D,Ship,4,4,135,3,medium,M,6,4335,1,0.865065199
7856,F,Ship,4,5,209,3,low,F,6,5899,1,0.080361569
7857,A,Ship,4,5,217,3,medium,M,2,5461,1,0.177213705
7858,B,Ship,2,2,287,4,medium,M,10,5972,0,0.8972667
7859,C,Ship,2,3,239,6,medium,M,4,,0,0.407583996
7860,F,Ship,5,2,189,2,medium,M,2,4636,1,0.576093976
7861,D,Ship,4,2,139,3,medium,M,10,4648,0,0.62064368
7862,F,Ship,4,2,255,3,low,F,8,5865,0,0.775821834
7863,A,Ship,5,1,132,4,medium,F,4,5461,0,0.927386201
7864,B,Ship,4,1,136,3,medium,F,4,5060,1,0.250521237
7865,C,Ship,5,3,143,3,low,M,6,4761,1,0.580095291
7866,F,Ship,3,4,201,2,low,F,8,4394,0,0.892634456
7867,D,Ship,6,5,278,5,medium,F,2,4361,1,0.035369995
7868,F,Ship,4,3,213,3,medium,M,4,4367,0,0.137641259
7869,A,Ship,2,1,202,2,medium,F,5,4456,0,0.700646749
7870,B,Ship,4,5,240,2,medium,M,6,5045,1,0.46047385
7871,C,Ship,5,4,223,3,low,M,7,4671,1,0.70496318
7872,F,Ship,4,4,193,3,low,M,2,5975,1,0.863786182
7873,D,Ship,3,1,224,3,low,M,8,,0,0.396394403
7874,F,Ship,3,1,202,3,medium,F,7,5818,0,0.628227558
7875,A,Ship,4,5,236,4,medium,M,1,4082,0,0.459835643
7876,B,Ship,3,3,216,4,low,F,9,,1,0.363897778
7877,C,Ship,3,1,229,3,medium,M,7,,1,0.386478624
7878,F,Ship,4,5,275,3,medium,M,1,5394,1,0.288249844
7879,D,Ship,3,3,250,2,medium,F,8,5067,0,0.332420442
7880,F,Ship,4,3,196,3,low,M,10,4433,1,0.832109778
7881,A,Ship,2,2,220,3,low,M,1,5289,0,0.754606434
7882,B,Ship,4,4,152,3,low,M,8,4430,0,0.61827026
7883,C,Ship,3,2,186,2,low,M,7,5522,0,0.107758029
7884,F,Ship,3,1,189,3,low,F,3,5866,1,0.549470377
7885,D,Ship,3,1,222,3,low,M,1,5362,1,0.648103099
7886,F,Ship,4,1,139,3,low,F,7,,0,0.44321551
7887,A,Ship,5,1,169,4,low,M,6,4253,1,0.529438833
7888,B,Ship,4,3,137,3,medium,M,9,5016,0,0.92576568
7889,C,Ship,3,1,212,6,low,M,5,,0,0.394447988
7890,F,Ship,3,5,230,4,low,F,5,4450,1,0.706698916
7891,D,Ship,3,2,262,2,low,M,7,5141,1,0.695961904
7892,F,Ship,4,4,166,2,low,M,8,,0,0.429529465
7893,A,Ship,6,2,99,3,low,M,8,5872,0,0.708096184
7894,B,Ship,4,2,263,3,low,F,7,5395,1,0.258341054
7895,C,Ship,5,4,223,3,low,M,8,4310,1,0.838829464
7896,F,Ship,3,1,220,2,low,F,7,,0,0.432562148
7897,D,Ship,3,3,242,3,medium,F,8,5915,1,0.287274575
7898,F,Ship,3,4,163,3,high,F,6,5912,0,0.554910905
7899,A,Ship,3,4,273,2,medium,M,2,4219,1,0.152917991
7900,B,Ship,5,5,261,5,medium,M,9,5385,0,0.140546262
7901,C,Ship,5,1,179,2,low,M,8,,1,0.400622442
7902,F,Ship,5,2,182,3,low,F,10,4128,1,0.298118418
7903,D,Ship,3,4,202,2,medium,F,6,5030,0,0.73856313
7904,F,Ship,5,2,154,4,low,F,8,4820,0,0.285403513
7905,A,Ship,4,4,224,2,low,F,8,5754,1,0.856967572
7906,B,Ship,3,2,139,3,medium,M,4,5531,0,0.063878743
7907,C,Ship,3,5,256,2,medium,F,6,5375,0,0.894942335
7908,F,Ship,3,2,251,4,high,F,7,4038,0,0.68839981
7909,D,Ship,4,5,254,3,medium,F,10,4148,0,0.540505025
7910,F,Ship,5,1,181,3,low,F,6,5423,0,0.703774351
7911,A,Ship,4,4,254,3,low,M,7,5637,0,0.614908668
7912,B,Ship,3,3,239,3,medium,M,7,4942,0,0.047023873
7913,C,Ship,3,3,167,2,low,M,6,5101,0,0.605068969
7914,F,Ship,4,2,192,2,low,M,9,4140,0,0.974537345
7915,D,Ship,3,2,163,2,low,F,5,5021,0,0.323262344
7916,F,Ship,3,1,213,2,low,M,6,4747,0,0.479907236
7917,A,Ship,3,3,230,3,low,M,4,4018,1,0.894874749
7918,B,Ship,3,3,264,3,low,M,3,4970,0,0.24383111
7919,C,Ship,5,1,182,2,low,M,6,4121,1,0.869565481
7920,F,Road,5,1,223,3,medium,F,4,4905,1,0.98289739
7921,D,Road,4,1,261,2,medium,F,9,4158,0,0.01686767
7922,F,Road,4,2,248,2,low,F,10,5783,0,0.454238929
7923,A,Road,4,5,169,4,low,M,5,5347,0,0.709715341
7924,B,Road,3,4,188,6,medium,F,6,4031,1,0.460039837
7925,C,Road,3,4,142,4,medium,M,5,4429,0,0.829552338
7926,F,Road,4,1,208,2,low,F,5,5707,1,0.683387501
7927,D,Road,4,5,239,2,medium,F,1,,0,0.351161905
7928,F,Road,5,5,218,5,low,M,5,4303,1,0.857765237
7929,A,Road,4,1,137,3,medium,F,3,4962,1,0.778175126
7930,B,Road,4,4,97,6,low,M,4,5801,0,0.614603919
7931,C,Road,3,1,242,10,high,M,9,5151,1,0.776309058
7932,F,Road,4,3,153,7,medium,F,4,,1,0.429787922
7933,D,Road,3,3,188,5,low,F,6,5713,0,0.010708658
7934,F,Road,4,1,272,2,low,F,8,5328,1,0.668526536
7935,A,Road,2,2,165,3,medium,F,10,4080,1,0.862607246
7936,B,Road,4,4,218,2,medium,F,3,,1,0.400653286
7937,C,Road,4,3,153,4,low,M,4,5161,0,0.052136322
7938,F,Road,6,1,250,2,medium,M,4,4016,0,0.644706493
7939,D,Road,4,1,204,8,low,F,7,5359,0,0.20124987
7940,F,Road,4,1,154,10,high,M,10,5674,1,0.028889836
7941,A,Road,4,2,233,7,medium,F,5,5361,0,0.880910009
7942,B,Flight,4,3,225,8,low,M,8,4718,1,0.966778157
7943,C,Flight,4,4,269,10,high,F,3,4488,0,0.128330569
7944,F,Flight,4,5,173,4,low,M,7,4978,1,0.868167679
7945,D,Flight,4,1,145,3,low,M,8,5127,0,0.957126012
7946,F,Flight,4,4,242,2,medium,M,6,5866,0,0.662507326
7947,A,Flight,3,5,255,7,medium,M,8,4091,1,0.80760434
7948,B,Flight,4,1,254,7,low,M,5,4104,1,0.494470456
7949,C,Flight,4,3,150,3,high,F,2,4383,0,0.092468609
7950,F,Flight,4,2,201,8,medium,F,6,5128,0,0.175205192
7951,D,Flight,5,2,262,5,low,M,5,1751,0,0.313092231
7952,F,Flight,6,4,306,4,low,F,8,1465,0,0.249444776
7953,A,Flight,6,5,276,4,low,M,9,1319,0,0.113105153
7954,B,Flight,3,2,183,5,low,M,3,1336,1,0.348208124
7955,C,Flight,5,1,239,5,low,F,7,1859,1,0.158988147
7956,F,Flight,7,3,285,4,low,M,10,1935,1,0.493444424
7957,D,Flight,5,5,229,6,low,F,6,1857,0,0.997494605
7958,F,Flight,7,5,308,5,medium,M,6,1154,0,0.737944375
7959,A,Flight,6,2,293,4,low,F,7,1477,0,0.186405656
7960,B,Flight,6,4,247,4,low,M,7,1831,0,0.302083569
7961,C,Flight,6,1,260,5,low,F,3,1434,0,0.914219639
7962,F,Flight,7,1,308,4,medium,M,5,1705,0,0.259965882
7963,D,Flight,5,3,274,6,medium,M,7,1293,0,0.7561268
7964,F,Ship,5,1,236,6,low,M,4,1123,1,0.279474228
7965,A,Ship,7,1,291,4,medium,F,1,1796,0,0.278119668
7966,B,Ship,5,4,223,3,medium,M,7,5738,0,0.572851407
7967,C,Ship,4,4,261,2,medium,M,8,5006,1,0.061836892
7968,F,Ship,4,1,248,2,low,F,6,5621,0,0.620572795
7969,D,Ship,4,5,169,4,low,F,6,4213,0,0.783934347
7970,F,Ship,3,2,188,6,medium,F,1,4856,0,0.652768708
7971,A,Ship,3,1,142,4,medium,M,7,4780,0,0.341745882
7972,B,Ship,4,1,208,2,low,M,6,5266,0,0.819618278
7973,C,Ship,4,3,239,2,medium,F,7,5384,0,0.323477051
7974,F,Ship,5,3,218,5,low,F,9,4435,1,0.038039308
7975,D,Ship,4,5,137,3,medium,M,1,4861,0,0.21419011
7976,F,Ship,4,3,97,6,low,F,4,4375,0,0.580623916
7977,A,Ship,3,4,242,10,high,M,5,4127,0,0.934227398
7978,B,Ship,4,1,153,7,medium,F,4,5761,1,0.466626104
7979,C,Ship,3,4,188,5,low,F,3,4835,1,0.576875754
7980,F,Ship,4,4,272,2,low,M,7,4042,1,0.805412212
7981,D,Ship,2,4,165,3,medium,M,7,5856,0,0.858093294
7982,F,Ship,4,4,218,2,medium,M,3,5039,0,0.582862885
7983,A,Ship,4,4,153,4,low,M,5,5162,0,0.498243804
7984,B,Ship,6,3,250,2,medium,F,1,4747,0,0.101631418
7985,C,Ship,4,2,204,8,low,F,1,4038,1,0.268468487
7986,F,Ship,4,3,154,10,high,M,7,5317,0,0.494407774
7987,D,Ship,4,1,233,7,medium,M,7,4272,1,0.291254961
7988,F,Ship,4,2,225,8,low,F,8,5623,0,0.091041128
7989,A,Ship,4,2,269,10,high,M,2,5616,1,0.110790759
7990,B,Ship,4,1,173,4,low,F,1,5789,0,0.134835772
7991,C,Ship,4,3,145,3,low,F,5,5802,1,0.008731354
7992,F,Ship,4,5,242,2,medium,F,2,4806,1,0.536325822
7993,D,Ship,3,2,255,7,medium,M,2,5282,0,0.787533938
7994,F,Ship,4,2,254,7,low,F,6,5121,0,0.949966542
7995,A,Ship,4,5,150,3,high,F,10,5767,1,0.831538925
7996,B,Ship,4,1,201,8,medium,M,4,4295,0,0.879615337
7997,C,Ship,5,3,262,5,low,F,8,1493,1,0.239709483
7998,F,Ship,6,1,306,4,low,F,4,1449,1,0.640496198
7999,D,Ship,6,4,276,4,low,F,2,1120,1,0.05585293
8000,F,Ship,3,2,183,5,low,F,2,1158,1,0.019949635
8001,A,Ship,5,2,239,5,low,M,1,1518,1,0.965960911
8002,B,Ship,7,2,285,4,low,M,2,1491,1,0.960796664
8003,C,Ship,5,4,229,6,low,F,9,1733,0,0.86285231
8004,F,Ship,7,3,308,5,medium,M,10,1152,1,0.869393952
8005,D,Ship,6,4,293,4,low,F,8,1145,1,0.725032239
8006,F,Ship,6,3,247,4,low,F,6,1537,0,0.153914838
8007,A,Ship,6,3,260,5,low,M,8,1324,1,0.967471184
8008,B,Ship,7,1,308,4,medium,M,7,1841,1,0.653599189
8009,C,Ship,6,2,282,4,low,M,1,1857,1,0.784935565
8010,F,Ship,6,4,268,4,medium,F,3,1586,0,0.811132282
8011,D,Ship,5,3,238,5,high,M,7,1848,0,0.824485038
8012,F,Ship,5,3,254,6,low,M,7,1064,0,0.610759827
8013,A,Ship,5,3,252,5,low,M,3,1474,0,0.791144017
8014,B,Ship,6,4,254,4,low,M,9,1594,0,0.319226613
8015,C,Ship,4,1,263,5,low,M,8,1426,1,0.659556988
8016,F,Ship,5,4,256,5,low,M,6,1551,0,0.046081205
8017,D,Ship,6,5,264,4,medium,M,8,1755,0,0.685063956
8018,F,Ship,4,5,237,5,low,M,2,1357,1,0.969466815
8019,A,Ship,4,1,226,5,medium,M,6,1510,1,0.250537781
8020,B,Ship,7,5,289,4,low,M,3,1656,1,0.092861103
8021,C,Ship,7,4,281,4,low,M,9,1970,0,0.781994762
8022,F,Ship,5,1,258,5,low,F,4,1032,0,0.766834272
8023,D,Ship,6,2,263,4,low,F,8,1635,0,0.327275606
8024,F,Ship,5,3,245,5,low,F,2,1937,0,0.044973517
8025,A,Ship,7,3,296,4,medium,M,8,1826,1,0.142515023
8026,B,Ship,7,3,286,4,low,F,5,,1,0.404198152
8027,C,Ship,6,3,252,2,low,M,1,1756,0,0.491155076
8028,F,Ship,6,5,301,4,low,F,7,,1,0.411421668
8029,D,Ship,7,1,290,4,low,M,4,1488,0,0.95666611
8030,F,Ship,7,1,247,4,medium,M,6,1297,1,0.80286501
8031,A,Ship,5,5,238,6,low,F,3,1965,1,0.587720335
8032,B,Ship,5,2,263,5,medium,F,10,1059,0,0.042637244
8033,C,Ship,5,2,263,4,low,M,3,1740,1,0.888610769
8034,F,Ship,5,2,248,5,low,F,3,1046,1,0.250791968
8035,D,Ship,7,2,289,5,low,M,1,1178,0,0.973287245
8036,F,Ship,4,4,256,5,high,M,1,1927,1,0.011843626
8037,A,Ship,6,2,287,4,low,F,7,1837,1,0.883308191
8038,B,Ship,4,2,250,5,medium,M,10,1026,1,0.918061603
8039,C,Ship,7,3,301,4,medium,M,1,1966,1,0.200980812
8040,F,Ship,4,1,245,5,low,F,3,1537,0,0.78217327
8041,D,Ship,4,5,226,5,medium,M,8,1133,0,0.618247201
8042,F,Ship,6,2,272,5,low,M,8,1045,0,0.029129787
8043,A,Ship,3,3,307,5,low,F,3,1578,1,0.148797756
8044,B,Ship,6,1,138,3,low,M,6,1604,0,0.810347747
8045,C,Ship,5,1,248,5,low,F,8,1810,0,0.486974422
8046,F,Ship,5,1,307,4,low,M,8,,1,0.36940805
8047,D,Ship,6,2,256,4,low,F,6,1507,0,0.666498577
8048,F,Ship,6,5,301,5,low,M,8,1443,0,0.111575563
8049,A,Ship,7,3,245,4,medium,F,10,1610,1,0.279089714
8050,B,Ship,2,2,168,2,medium,F,2,1227,1,0.597545285
8051,C,Ship,6,1,295,4,low,M,10,1600,0,0.892254644
8052,F,Ship,6,4,299,4,low,M,9,1527,0,0.620571954
8053,D,Ship,6,4,253,4,medium,M,9,1488,0,0.996155718
8054,F,Ship,7,4,269,4,medium,M,5,1073,0,0.631786753
8055,A,Ship,5,1,267,5,medium,F,10,1818,0,0.174712822
8056,B,Ship,3,5,212,3,medium,M,7,4411,1,0.84610212
8057,C,Road,5,3,258,3,medium,F,1,,0,0.365897348
8058,F,Road,4,3,136,3,low,M,6,,1,0.411958422
8059,D,Road,3,1,101,2,medium,F,1,5560,0,0.759141507
8060,F,Road,5,2,191,4,low,F,3,5578,0,0.299239698
8061,A,Road,5,5,186,4,low,M,3,4287,0,0.811579323
8062,B,Road,4,4,104,5,low,F,7,,0,0.37027225
8063,C,Road,4,3,201,4,medium,F,3,4797,0,0.871337372
8064,F,Road,3,2,235,2,medium,F,10,4172,0,0.478439242
8065,D,Road,4,4,271,6,high,M,3,5204,0,0.184950227
8066,F,Road,2,3,133,4,low,F,5,5989,1,0.559311293
8067,A,Road,3,1,256,4,low,M,6,,1,0.429511612
8068,B,Road,3,1,225,2,low,F,2,4438,1,0.937460847
8069,C,Road,5,3,202,3,low,M,4,4134,1,0.008639806
8070,F,Road,4,4,214,3,medium,F,1,4717,0,0.664513869
8071,D,Road,6,3,217,6,medium,M,3,4209,0,0.981495479
8072,F,Road,4,1,241,2,low,M,3,5672,0,0.987718443
8073,A,Road,2,3,263,3,low,M,10,5997,0,0.683894348
8074,B,Road,4,2,273,2,low,F,9,,0,0.372288012
8075,C,Road,4,4,199,3,low,F,9,5016,0,0.921222905
8076,F,Road,4,1,198,4,medium,F,9,5382,0,0.326320302
8077,D,Road,2,4,101,6,low,F,6,5080,1,0.305479439
8078,F,Road,4,4,155,4,low,F,10,5483,1,0.191271752
8079,A,Flight,2,1,155,2,low,M,2,5661,1,0.785626212
8080,B,Flight,4,3,117,3,medium,F,4,4666,0,0.807710593
8081,C,Flight,3,2,262,2,low,M,5,5747,1,0.182003916
8082,F,Flight,5,4,142,3,low,F,8,5468,1,0.524327992
8083,D,Flight,4,4,115,3,medium,M,7,4609,0,0.302589782
8084,F,Flight,4,4,175,3,low,F,6,4600,1,0.083192651
8085,A,Flight,2,5,239,2,low,F,9,5363,1,0.534550584
8086,B,Flight,4,1,171,2,low,M,3,4271,0,0.20982959
8087,C,Flight,4,4,174,3,low,M,8,4348,0,0.287186488
8088,F,Flight,4,1,164,3,high,F,1,5492,0,0.02609065
8089,D,Flight,3,2,262,2,medium,M,4,5738,0,0.510160956
8090,F,Flight,3,5,262,2,medium,F,7,4422,1,0.341135448
8091,A,Flight,3,1,245,3,low,F,4,5449,0,0.579250912
8092,B,Flight,3,4,184,3,low,F,2,4875,0,0.709705918
8093,C,Flight,5,1,231,2,low,M,10,4892,1,0.135906996
8094,F,Flight,5,1,226,4,high,F,2,5600,0,0.628561685
8095,D,Flight,4,1,211,3,medium,F,2,5851,0,0.821433072
8096,F,Flight,4,2,266,5,medium,M,3,4578,0,0.620308626
8097,A,Flight,4,2,216,3,low,M,4,4309,1,0.680546729
8098,B,Flight,4,3,153,3,low,M,5,5743,1,0.712700418
8099,C,Flight,2,2,242,3,high,M,9,4717,0,0.509428221
8100,F,Flight,5,1,282,5,low,M,6,5182,1,0.94160027
8101,D,Ship,4,1,165,3,medium,F,10,4574,0,0.090857081
8102,F,Ship,3,1,146,3,medium,M,9,,1,0.421192585
8103,A,Ship,5,3,113,3,medium,F,5,4743,0,0.007727976
8104,B,Ship,3,2,161,3,medium,F,1,,0,0.394171116
8105,C,Ship,2,2,219,2,medium,M,8,4518,0,0.468150924
8106,F,Ship,4,2,237,2,low,F,1,5261,0,0.348423607
8107,D,Ship,4,3,246,3,low,M,5,,0,0.390347979
8108,F,Ship,3,4,229,6,medium,F,3,,0,0.352031539
8109,A,Ship,3,3,195,3,low,M,1,4224,0,0.669209724
8110,B,Ship,4,3,160,2,low,M,5,4522,1,0.853982987
8111,C,Ship,3,5,144,2,medium,M,6,5983,0,0.253820483
8112,F,Ship,3,3,217,4,medium,F,3,,0,0.436905076
8113,D,Ship,3,4,240,3,high,F,6,4412,0,0.061923304
8114,F,Ship,3,2,210,3,medium,M,8,4011,0,0.060337275
8115,A,Ship,4,2,249,3,low,F,9,5459,1,0.321319422
8116,B,Ship,4,1,178,3,high,M,3,5520,1,0.542137751
8117,C,Ship,6,4,224,4,low,F,6,4493,0,0.679389712
8118,F,Ship,3,1,142,3,medium,F,10,4915,1,0.104878377
8119,D,Ship,4,5,163,2,medium,F,10,5529,1,0.265736506
8120,F,Ship,4,1,261,4,medium,F,10,4632,0,0.180965389
8121,A,Ship,3,4,151,3,medium,M,5,4767,1,0.304885632
8122,B,Ship,4,2,197,2,medium,M,3,4715,1,0.617518937
8123,C,Ship,6,3,155,2,medium,F,1,4182,1,0.96357039
8124,F,Ship,3,5,152,4,medium,M,2,4809,0,0.787276784
8125,D,Ship,4,5,275,6,low,M,3,5008,0,0.919642365
8126,F,Ship,3,1,102,4,medium,F,4,5936,1,0.109425816
8127,A,Ship,4,1,285,2,low,M,4,4401,0,0.081690488
8128,B,Ship,4,5,248,2,medium,M,10,4366,1,0.314666948
8129,C,Ship,3,4,274,3,low,F,7,5036,1,0.146165422
8130,F,Ship,4,4,104,4,low,M,6,4323,1,0.128962143
8131,D,Ship,5,4,176,3,medium,M,10,5456,0,0.14676057
8132,F,Ship,5,4,237,3,medium,F,1,4369,0,0.059870812
8133,A,Ship,4,4,247,2,medium,M,9,5095,0,0.068434219
8134,B,Ship,5,5,212,5,low,F,6,4463,0,0.211182191
8135,C,Ship,4,5,226,2,low,M,1,4532,0,0.830809795
8136,F,Ship,6,2,213,2,medium,F,7,5415,0,0.608667456
8137,D,Ship,4,3,177,3,low,M,1,5282,0,0.487520244
8138,F,Ship,4,5,235,4,medium,M,6,4633,1,0.860282459
8139,A,Ship,3,4,263,3,medium,F,2,5741,1,0.8961494
8140,B,Ship,3,3,181,3,low,F,10,5337,0,0.02407831
8141,C,Ship,3,2,178,2,medium,F,2,4122,0,0.675166535
8142,F,Ship,3,5,243,3,medium,F,4,4130,1,0.898824462
8143,D,Ship,3,3,230,3,medium,F,2,4742,1,0.797888097
8144,F,Ship,4,3,106,2,medium,F,6,5867,0,0.484438714
8145,A,Ship,4,5,266,3,medium,F,2,4867,0,0.557654024
